Date,Publication,Headline,URL,Ideology
2019-03-29,New York Times,"with guns drawn, officers raided home to get unvaccinated, feverish childthe police burst into an arizona home to take custody of a sick toddler, raising questions about when parents can be stripped of control over their children’s health care.",https://www.nytimes.com/2019/03/29/us/unvaccinated-children-home-raids.html,Liberal
2019-03-31,FOX,cops kick down door of parents who refused to take unvaccinated 2-year-old to hospital,https://www.foxnews.com/us/arizona-police-kick-down-door-of-parents-who-refused-to-take-unvaccinated-2-year-old-to-hospital-body-cam-footage-shows,Conservative
2019-04-02,Daily Mail,'your neighbor does not believe in vaccinating herself or her family': anonymous group of wisconsin mothers wage war on anti-vaxxer neighbor by passing out letters about her to the community,https://www.dailymail.co.uk/health/article-6879093/Wisconsin-moms-wage-war-anti-vaxxer-neighbor-passing-letters-community.html,Conservative
2019-04-02,The Guardian,america's vaccination crisis is a symptom of our broken society,https://www.theguardian.com/society/commentisfree/2019/apr/02/america-anti-vaxx-movement-crisis-broken-society,Liberal
2019-04-03,New York Times,"scientists thought they had measles cornered. they were wrong.following intensive vaccination efforts, measles cases plunged across the world. now clusters of new infections — some linked, some not — have confounded health officials.",https://www.nytimes.com/2019/04/03/health/measles-outbreaks-ukraine-israel.html,Liberal
2019-04-03,Daily Mail,"kentucky judge rules against teenage anti-vaxxer, 18, who sued the state's health department after being banned from school and basketball practice for refusing chickenpox vaccine 'because it contains aborted fetal cells'",https://www.dailymail.co.uk/news/article-6879631/Kentucky-judge-rules-against-unvaccinated-student-lawsuit.html,Conservative
2019-04-04,Daily Mail,"experimental vaccine cured hpv and cleared up cervical pre-cancer lesions in a third of patients - preventing it from turning into disease, study finds",https://www.dailymail.co.uk/health/article-6886697/Experimental-vaccine-clears-cervical-pre-cancer-lesions-HPV-infection-one-women.html,Conservative
2019-04-05,The Guardian,'sentencing their dog to death'  how the anti-vax movement spread to pets,https://www.theguardian.com/society/2019/apr/06/sentencing-their-dog-to-death-how-the-anti-vax-movement-spread-to-pets,Liberal
2019-04-05,The Guardian,how the anti-vax movement spread to pets,https://www.theguardian.com/society/2019/apr/06/sentencing-their-dog-to-death-how-the-anti-vax-movement-spread-to-pets,Liberal
2019-04-09,New York Times,‘pig dna’: misinformation drives measles outbreak among ultra-orthodox jewsfliers and conference calls in new york communities have contradicted the scientific consensus that vaccines are generally safe and  effective.one magazine contained false warnings that vaccines cause autism and contain cells from aborted human fetuses.,https://www.nytimes.com/2019/04/09/nyregion/jews-measles-vaccination.html,Liberal
2019-04-09,New York Times,"new york city declares measles emergency after outbreak in brooklynmayor bill de blasio said that the city would require unvaccinated people living in select zip codes in williamsburg, brooklyn, to receive the measles vaccine.",https://www.nytimes.com/2019/04/09/nyregion/measles-vaccination-williamsburg.html,Liberal
2019-04-09,Daily Mail,new york parents are holding 'measles parties' to intentionally infect their children instead of getting vaccinated,https://www.dailymail.co.uk/health/article-6903821/New-York-orders-mandatory-measles-vaccinations-blasts-misinformation-fueling-outbreak.html,Conservative
2019-04-16,Daily Mail,measles cases quadruple in a year as world health organization warns slipping vaccination rates are triggering the spread of the deadly virus,https://www.dailymail.co.uk/health/article-6924773/Global-measles-cases-300-percent-year-year-WHO.html,Conservative
2019-04-18,Daily Mail,why your decades-old measles shot is still valid: a vaccine professor explains as he answers patients' top 5 questions,https://www.dailymail.co.uk/health/article-6937047/Why-years-old-measles-vaccine-valid.html,Conservative
2019-04-18,Daily Mail,furious mom of 8-month-old girl who caught measles before she could get her mmr shot slams anti-vaxxers for fueling the outbreak - telling them to 'wear a sign' so she can avoid them,https://www.dailymail.co.uk/health/article-6937557/8-month-old-girl-caught-measles-MMR-shot.html,Conservative
2019-04-23,New York Times,moshe friedmanmy fellow hasidic jews are making a terrible mistake about vaccinations,https://www.nytimes.com/2019/04/23/opinion/my-fellow-hasidic-jews-are-making-a-terrible-mistake-about-vaccinations.html,Liberal
